NAME	CPU %	MEM USAGE / LIMIT	MEM %	TIME

TBbwa
--------------------
mtbseq_container	1630.15%	1.408GiB / 125.4GiB	1.12%	2025-06-12 22:41:39
mtbseq_container	1647.83%	1.444GiB / 125.4GiB	1.15%	2025-06-12 22:41:46
mtbseq_container	891.80%	1.185GiB / 125.4GiB	0.95%	2025-06-12 22:41:53
mtbseq_container	924.30%	1.461GiB / 125.4GiB	1.17%	2025-06-12 22:41:59
mtbseq_container	1544.05%	1.522GiB / 125.4GiB	1.21%	2025-06-12 22:42:06
mtbseq_container	847.00%	1.528GiB / 125.4GiB	1.22%	2025-06-12 22:42:12
mtbseq_container	858.29%	1.558GiB / 125.4GiB	1.24%	2025-06-12 22:42:19
mtbseq_container	848.40%	1.565GiB / 125.4GiB	1.25%	2025-06-12 22:42:25
mtbseq_container	981.85%	400.8MiB / 125.4GiB	0.31%	2025-06-12 22:42:32
mtbseq_container	216.42%	1.275GiB / 125.4GiB	1.02%	2025-06-12 22:42:39
mtbseq_container	563.24%	1.391GiB / 125.4GiB	1.11%	2025-06-12 22:42:45
mtbseq_container	434.77%	726.4MiB / 125.4GiB	0.57%	2025-06-12 22:42:52
mtbseq_container	1968.76%	1.466GiB / 125.4GiB	1.17%	2025-06-12 22:42:58
mtbseq_container	2254.27%	1.502GiB / 125.4GiB	1.20%	2025-06-12 22:43:05
mtbseq_container	2019.73%	1.199GiB / 125.4GiB	0.96%	2025-06-12 22:43:11
mtbseq_container	932.26%	1.446GiB / 125.4GiB	1.15%	2025-06-12 22:43:18
mtbseq_container	1372.90%	1.499GiB / 125.4GiB	1.20%	2025-06-12 22:43:24
mtbseq_container	1448.48%	1.527GiB / 125.4GiB	1.22%	2025-06-12 22:43:31
mtbseq_container	900.15%	1.502GiB / 125.4GiB	1.20%	2025-06-12 22:43:38
mtbseq_container	844.35%	1.552GiB / 125.4GiB	1.24%	2025-06-12 22:43:44
mtbseq_container	875.82%	1.566GiB / 125.4GiB	1.25%	2025-06-12 22:43:51
mtbseq_container	856.38%	1.584GiB / 125.4GiB	1.26%	2025-06-12 22:43:57
mtbseq_container	885.91%	1.591GiB / 125.4GiB	1.27%	2025-06-12 22:44:04
mtbseq_container	437.72%	579.2MiB / 125.4GiB	0.45%	2025-06-12 22:44:10
mtbseq_container	120.51%	1.054GiB / 125.4GiB	0.84%	2025-06-12 22:44:17
mtbseq_container	235.35%	1.175GiB / 125.4GiB	0.94%	2025-06-12 22:44:24
mtbseq_container	138.13%	1.253GiB / 125.4GiB	1.00%	2025-06-12 22:44:30
